sample_name	archive	member	size_bytes	md5
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_9.pod5	409760008	193e34e13deea2b57e8c4e31464c8de1
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_0.pod5	151246728	f948908219547ab9e147d150c978c93b
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_1.pod5	160750328	5d0af81e8b958553b5b370a4156193ef
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_10.pod5	240017816	45944b626fa9fb2e97b1d70e9a50d1af
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_11.pod5	195027768	83e6424d5022cf7a37f3095b1714ff67
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_12.pod5	210827720	97056d39eeabc9c83043aebf1050ede8
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_13.pod5	212345904	127b667bc67c91412c50807b1886efba
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_14.pod5	213959456	910733e8acae4c039f2c818b3709d32f
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_15.pod5	218239256	4fd679e8942bcefd3068bdf225123c16
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_16.pod5	213931936	5bbe65b535645ef3018c4eb5c3a2511c
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_17.pod5	213177720	8c4dbf4b206265cc67f0785825e5cf09
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_18.pod5	166315080	abf77a0f388e3c57e4660088d13163d8
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_19.pod5	222710664	95d16e1f195074dfb7d83bd0881c872b
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_2.pod5	217449776	f395b5e04f01f9c8573f152dc33a04f0
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_20.pod5	196335664	fb7ec4a78f0fa060fe1123ddbe1837af
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_21.pod5	204527776	44871ef5b0b1fd3d9bc4e3b2bb26acfd
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_22.pod5	198063792	7bb21bc3770af4df8e50b84123db5d38
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_23.pod5	178383432	d2be709f7e80be85e7a2694e4319cfa1
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_24.pod5	198155520	73c517dfd43bb205ffbe1ce181bc8911
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_25.pod5	175297872	e11e5bdef910a621666404e7590ba89a
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_26.pod5	178459080	8e397bca4ee9b95fd2d13d1c7bb7f166
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_27.pod5	55193384	20ca7f1b6819fb50e3bbbc5e85d7ae1c
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_3.pod5	189954704	6bdd253c797705e7a396ee86fda5c136
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_4.pod5	193329352	6a758840ac66950eb46deaacd3b5b240
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_5.pod5	235198368	cbeaf737c27331ba62770a223fa12e23
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_6.pod5	195976880	7dc721f4f03c51ae7b6d4fa316a0cc6e
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_7.pod5	209636800	fb74d3af3b90e5d661a8bf0d7096711f
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_8.pod5	220635728	d7e8f07014e2ab1aab005988bcda6f7b
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode12/FBF04840_pass_barcode12_c6cb4347_af3697b9_9.pod5	193591384	e73fecfcdb4ff893db41eedf166865f8
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251216_1857_MN34111_FBF04840_11eb6215/barcode18/FBF04840_pass_barcode18_11eb6215_3759c368_0.pod5	145913144	afa7a469b5c335ac35f4ecbe4d553078
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251216_1857_MN34111_FBF04840_11eb6215/barcode18/FBF04840_pass_barcode18_11eb6215_3759c368_1.pod5	203372552	1758fbd64390003370fabe7a9110ace1
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251216_1857_MN34111_FBF04840_11eb6215/barcode18/FBF04840_pass_barcode18_11eb6215_3759c368_10.pod5	209342920	1702f21226e63be8feb487e95bbaca1d
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251216_1857_MN34111_FBF04840_11eb6215/barcode18/FBF04840_pass_barcode18_11eb6215_3759c368_11.pod5	246725792	e14ececc1130c7613d36364e6cfaf160
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251216_1857_MN34111_FBF04840_11eb6215/barcode18/FBF04840_pass_barcode18_11eb6215_3759c368_12.pod5	211368576	32f9e52a382e2ae3e55b4798178dbfa9
M145_2_1	M145_2_1_pod5.tar	M145_2_1/20251216_1857_MN34111_FBF04840_11eb6215/barcode18/FBF04840_pass_barcode18_11eb6215_3759c368_13.pod5	198784240	bfcdab073f7f4ffdd1bb84d231f941d3
