SCO_ID	cistron_id	regulator_flag	source
SCO3982	cistron2749	1	CastroMelchor_2010
SCO3983	cistron2749	1	CastroMelchor_2010
SCO3984	cistron2749	1	CastroMelchor_2010
SCO3985	cistron2749	1	CastroMelchor_2010
SCO3986	cistron2749	1	CastroMelchor_2010
SCO3987	cistron2749	1	CastroMelchor_2010
SCO3988	cistron2749	1	CastroMelchor_2010
SCO4005	cistron2761	1	CastroMelchor_2010
SCO4008	cistron2764	1	CastroMelchor_2010
SCO4009	cistron2765	1	CastroMelchor_2010
SCO4019	cistron2774	1	CastroMelchor_2010
SCO4020	cistron2775	1	CastroMelchor_2010
SCO4021	cistron2775	1	CastroMelchor_2010
SCO4022	cistron2775	1	CastroMelchor_2010
SCO4023	cistron2775	1	CastroMelchor_2010
SCO4026	cistron2778	1	CastroMelchor_2010
SCO4027	cistron2778	1	CastroMelchor_2010
SCO4031	cistron2781	1	CastroMelchor_2010
SCO4032	cistron2781	1	CastroMelchor_2010
SCO4034	cistron2783	1	CastroMelchor_2010
SCO4035	cistron2783	1	CastroMelchor_2010
SCO4072	cistron2813	1	CastroMelchor_2010
SCO4073	cistron2813	1	CastroMelchor_2010
SCO4091	cistron2825	1	CastroMelchor_2010
SCO4099	cistron2833	1	CastroMelchor_2010
SCO4102	cistron2835	1	CastroMelchor_2010
SCO4115	cistron2847	1	CastroMelchor_2010
SCO4116	cistron2847	1	CastroMelchor_2010
SCO4118	cistron2849	1	CastroMelchor_2010
SCO4122	cistron2853	1	CastroMelchor_2010
SCO4123	cistron2854	1	CastroMelchor_2010
SCO4124	cistron2854	1	CastroMelchor_2010
SCO4146	cistron2867	1	CastroMelchor_2010
SCO4147	cistron2867	1	CastroMelchor_2010
SCO4155	cistron2873	1	CastroMelchor_2010
SCO4156	cistron2873	1	CastroMelchor_2010
SCO4159	cistron2876	1	CastroMelchor_2010
SCO4167	cistron2882	1	CastroMelchor_2010
SCO4176	cistron2886	1	CastroMelchor_2010
SCO4177	cistron2886	1	CastroMelchor_2010
SCO4178	cistron2886	1	CastroMelchor_2010
SCO4179	cistron2886	1	CastroMelchor_2010
