pathway_id	pathway_name	gene
sco00250	Alanine, aspartate and glutamate metabolism	SCO1254
sco00250	Alanine, aspartate and glutamate metabolism	SCO1483
sco00250	Alanine, aspartate and glutamate metabolism	SCO1484
sco00250	Alanine, aspartate and glutamate metabolism	SCO1487
sco00250	Alanine, aspartate and glutamate metabolism	SCO1570
sco00250	Alanine, aspartate and glutamate metabolism	SCO1613
sco00250	Alanine, aspartate and glutamate metabolism	SCO1773
sco00250	Alanine, aspartate and glutamate metabolism	SCO1977
sco00250	Alanine, aspartate and glutamate metabolism	SCO2025
sco00250	Alanine, aspartate and glutamate metabolism	SCO2026
sco00250	Alanine, aspartate and glutamate metabolism	SCO2198
sco00250	Alanine, aspartate and glutamate metabolism	SCO2210
sco00250	Alanine, aspartate and glutamate metabolism	SCO2241
sco00250	Alanine, aspartate and glutamate metabolism	SCO2789
sco00250	Alanine, aspartate and glutamate metabolism	SCO2999
sco00250	Alanine, aspartate and glutamate metabolism	SCO3382
sco00250	Alanine, aspartate and glutamate metabolism	SCO3416
sco00250	Alanine, aspartate and glutamate metabolism	SCO3629
sco00250	Alanine, aspartate and glutamate metabolism	SCO4078
sco00250	Alanine, aspartate and glutamate metabolism	SCO4086
sco00250	Alanine, aspartate and glutamate metabolism	SCO4645
sco00250	Alanine, aspartate and glutamate metabolism	SCO4683
sco00250	Alanine, aspartate and glutamate metabolism	SCO4740
sco00250	Alanine, aspartate and glutamate metabolism	SCO4780
sco00250	Alanine, aspartate and glutamate metabolism	SCO4984
sco00250	Alanine, aspartate and glutamate metabolism	SCO5520
sco00250	Alanine, aspartate and glutamate metabolism	SCO5676
sco00250	Alanine, aspartate and glutamate metabolism	SCO6222
sco00250	Alanine, aspartate and glutamate metabolism	SCO6412
sco00250	Alanine, aspartate and glutamate metabolism	SCO6962
sco00250	Alanine, aspartate and glutamate metabolism	SCO7034
sco00250	Alanine, aspartate and glutamate metabolism	SCO7035
sco00250	Alanine, aspartate and glutamate metabolism	SCO7036
sco00250	Alanine, aspartate and glutamate metabolism	SCO7049
sco00253	Tetracycline biosynthesis	SCO1272
sco00253	Tetracycline biosynthesis	SCO1275
sco00253	Tetracycline biosynthesis	SCO4870
sco00253	Tetracycline biosynthesis	SCO5086
sco00253	Tetracycline biosynthesis	SCO5087
sco00253	Tetracycline biosynthesis	SCO5088
sco00253	Tetracycline biosynthesis	SCO5089
sco00253	Tetracycline biosynthesis	SCO7452
sco00260	Glycine, serine and threonine metabolism	SCO0420
sco00260	Glycine, serine and threonine metabolism	SCO1087
sco00260	Glycine, serine and threonine metabolism	SCO1378
sco00260	Glycine, serine and threonine metabolism	SCO1808
sco00260	Glycine, serine and threonine metabolism	SCO1864
sco00260	Glycine, serine and threonine metabolism	SCO1865
sco00260	Glycine, serine and threonine metabolism	SCO1866
sco00260	Glycine, serine and threonine metabolism	SCO1867
