region_category	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes
arm_regulatory	4300.0	0.27848101265822783	0.17721518987341772	0.4050632911392405	395
arm_regulatory	4500.0	0.34177215189873417	0.20253164556962025	0.4936708860759494	395
arm_regulatory	4700.0	0.34177215189873417	0.20253164556962025	0.48132911392405037	395
arm_regulatory	4900.0	0.2911392405063291	0.17721518987341772	0.4177215189873418	395
arm_non_regulatory	-4900.0	0.3087349397590361	0.26167168674698793	0.3576807228915662	2656
arm_non_regulatory	-4700.0	0.29179216867469876	0.24468185240963855	0.34262048192771083	2656
arm_non_regulatory	-4500.0	0.2767319277108434	0.22778614457831323	0.32379518072289154	2656
arm_non_regulatory	-4300.0	0.3256777108433735	0.2767319277108434	0.3765060240963855	2656
arm_non_regulatory	-4100.0	0.33132530120481923	0.2804969879518072	0.38031814759036137	2656
arm_non_regulatory	-3900.0	0.3012048192771084	0.24849397590361444	0.3557981927710843	2656
arm_non_regulatory	-3700.0	0.31814759036144574	0.26731927710843373	0.3708584337349397	2656
arm_non_regulatory	-3500.0	0.31061746987951805	0.26162462349397586	0.35956325301204817	2656
arm_non_regulatory	-3300.0	0.3012048192771084	0.2503765060240964	0.35391566265060237	2656
arm_non_regulatory	-3100.0	0.31814759036144574	0.2710372740963855	0.3708584337349397	2656
arm_non_regulatory	-2900.0	0.2710843373493976	0.22773908132530118	0.31631212349397586	2656
arm_non_regulatory	-2700.0	0.3087349397590361	0.259789156626506	0.363328313253012	2656
arm_non_regulatory	-2500.0	0.29743975903614456	0.2522590361445783	0.3501506024096385	2656
arm_non_regulatory	-2300.0	0.3520331325301205	0.29743975903614456	0.41792168674698793	2656
arm_non_regulatory	-2100.0	0.2804969879518072	0.22966867469879515	0.3332078313253012	2656
arm_non_regulatory	-1900.0	0.31814759036144574	0.26727221385542166	0.3689759036144578	2656
arm_non_regulatory	-1700.0	0.3068524096385542	0.2635542168674699	0.3576807228915662	2656
arm_non_regulatory	-1500.0	0.3143825301204819	0.2654367469879518	0.365257906626506	2656
arm_non_regulatory	-1300.0	0.2880271084337349	0.23903426204819275	0.338855421686747	2656
arm_non_regulatory	-1100.0	0.29179216867469876	0.2447289156626506	0.3407379518072289	2656
arm_non_regulatory	-900.0	0.28990963855421686	0.23719879518072287	0.3445030120481927	2656
arm_non_regulatory	-700.0	0.2767319277108434	0.23343373493975902	0.3276073042168674	2656
arm_non_regulatory	-500.0	0.3068524096385542	0.25602409638554213	0.35956325301204817	2656
arm_non_regulatory	-300.0	0.31061746987951805	0.26167168674698793	0.36342243975903604	2656
arm_non_regulatory	-100.0	0.29932228915662645	0.25409450301204817	0.34826807228915657	2656
arm_non_regulatory	100.0	0.31814759036144574	0.2635542168674699	0.3746234939759036	2656
arm_non_regulatory	300.0	0.338855421686747	0.2898625753012048	0.3972138554216867	2656
arm_non_regulatory	500.0	0.2955572289156626	0.2503765060240964	0.3407379518072289	2656
arm_non_regulatory	700.0	0.3219126506024096	0.2692018072289156	0.37843561746987947	2656
arm_non_regulatory	900.0	0.3143825301204819	0.26731927710843373	0.363328313253012	2656
arm_non_regulatory	1100.0	0.3350903614457831	0.28044992469879515	0.389683734939759	2656
arm_non_regulatory	1300.0	0.29743975903614456	0.2522590361445783	0.3463855421686747	2656
arm_non_regulatory	1500.0	0.3350903614457831	0.28798004518072284	0.38596573795180716	2656
arm_non_regulatory	1700.0	0.32944277108433734	0.2767319277108434	0.37838855421686746	2656
arm_non_regulatory	1900.0	0.3219126506024096	0.27296686746987947	0.3708584337349397	2656
arm_non_regulatory	2100.0	0.3350903614457831	0.2860975150602409	0.39344879518072284	2656
arm_non_regulatory	2300.0	0.2936746987951807	0.24096385542168672	0.338855421686747	2656
arm_non_regulatory	2500.0	0.3087349397590361	0.25602409638554213	0.35772778614457823	2656
arm_non_regulatory	2700.0	0.32944277108433734	0.2748493975903614	0.38596573795180716	2656
arm_non_regulatory	2900.0	0.32379518072289154	0.2748493975903614	0.3765060240963855	2656
arm_non_regulatory	3100.0	0.2767319277108434	0.23150414156626506	0.3275602409638554	2656
arm_non_regulatory	3300.0	0.338855421686747	0.2823795180722891	0.39156626506024095	2656
arm_non_regulatory	3500.0	0.28990963855421686	0.24091679216867468	0.338902484939759	2656
arm_non_regulatory	3700.0	0.2710843373493976	0.22213855421686746	0.3200301204819277	2656
arm_non_regulatory	3900.0	0.33132530120481923	0.2823795180722891	0.3821536144578313	2656
arm_non_regulatory	4100.0	0.2767319277108434	0.23338667168674698	0.3219597138554216	2656
arm_non_regulatory	4300.0	0.30496987951807225	0.25414156626506024	0.35772778614457823	2656
arm_non_regulatory	4500.0	0.27861445783132527	0.2315512048192771	0.3275602409638554	2656
arm_non_regulatory	4700.0	0.3463855421686747	0.28990963855421686	0.40474397590361444	2656
arm_non_regulatory	4900.0	0.32379518072289154	0.2692018072289156	0.3765060240963855	2656
